dlga_start:close_window|Warning: This line is never displayed. It is just for storing conversation variables.
dlga_merchant_quest_brief:merchant_quest_brief_deliver_wine|Ich habe eine Ladung {s6}, die in die Schänke von {s4} geliefert werden muss. Wenn Ihr {reg5} Einheiten {s6} in 7 Tagen nach {s4} bringen könnt, würdet Ihr dadurch {reg8} Dinare verdienen. Was sagt Ihr dazu?
dlga_merchant_quest_brief_deliver_wine:merchant_quest_taken|In Ordnung. Ich werde die Lieferung übernehmen.
dlga_merchant_quest_brief_deliver_wine:merchant_quest_stall|Ich fürchte, so eine schwere Ladung kann ich momentan nicht transportieren.
dlga_merchant_quest_requested:merchant_quest_brief.2|Sucht Ihr nach Arbeit? Ich suche gerade nach jemandem, der eine Karawane eskortieren kann. Vielleicht wäre das etwas für Euch?
dlga_merchant_quest_brief:escort_merchant_caravan_quest_brief|Ich werde eine Karawane mit Waren nach {s8} entsenden. Angesichts all dieser Banditen und Deserteure auf den Straßen möchte ich sie allerdings nicht schutzlos reisen lassen. Wenn Ihr diese Karawane in 15 Tagen nach {s8} eskortieren könnt, werdet Ihr Euch {reg8} Dinare verdienen. Natürlich muss Euer Trupp mindestens aus {reg4} Mann bestehen, um ihnen Schutz bieten zu können.
dlga_escort_merchant_caravan_quest_brief:merchant_quest_taken|In Ordnung. Ich werde die Karawane eskortieren.
dlga_escort_merchant_caravan_quest_brief:merchant_quest_stall|Ich fürchte, ich habe momentan nicht genügend Soldaten bei mir.
dlga_escort_merchant_caravan_quest_brief:merchant_quest_stall.1|Vergebt mir. Ich kann das momentan nicht tun.
dlga_start:close_window.19|Wir können den restlichen Weg alleine bewerkstelligen. Danke.
dlga_start:close_window.20|Wohlan, wir haben {s21} fast erreicht. Wir können den restlichen Weg alleine bewerkstelligen. Hier ist Eure Bezahlung ... {reg14} Dinare. Vielen Dank für Eure Eskorte. Viel Glück.
dlga_start:merchant_caravan_intro_1|Seid gegrüßt. Ihr seid unsere Eskorte, richtig?
dlga_merchant_caravan_intro_1:merchant_caravan_intro_2|Jawohl. Mein Name lautet {playername}. Ich werde Euch nach {s1} geleiten.
dlga_merchant_caravan_intro_2:escort_merchant_caravan_talk|Wohlan, es ist gut zu wissen, dass wir nicht alleine reisen werden. Wie lauten Eure Anweisungen für uns?
dlga_start:escort_merchant_caravan_talk|Wir haben es bis hierher geschafft ... wie lauten Eure Anweisungen für uns?
dlga_escort_merchant_caravan_talk:merchant_caravan_follow_lead|Folgt mir. Ich werde Euch entlang einer sicheren Route führen.
dlga_merchant_caravan_follow_lead:close_window|In Ordnung. Wir sind direkt hinter Euch.
dlga_escort_merchant_caravan_talk:merchant_caravan_stay_here|Bleibt eine Weile hier. Ich reite voraus und überprüfe die Straße.
dlga_merchant_caravan_stay_here:close_window|In Ordnung. Wir werden hier auf Euch warten.
dlga_merchant_quest_requested:merchant_quest_brief.3|Einen tüchtigen Abenteurer wie Euch suche ich schon lange: Eine Bande besonders schlimmer Banditen hat sich in der Nähe unserer Stadt eingenistet und bedroht meine Karawanen. Bis jetzt konnten sie den Soldaten und Milizen entkommen. Wenn sie nicht bald jemand zur Strecke bringt, werde ich ruiniert sein ...
dlga_merchant_quest_brief:troublesome_bandits_quest_brief|Wenn Ihr diese lästigen Banditen zur Strecke bringt, werden wir Euch {reg8} Dinare zahlen. Es ist ein gefährliches Unterfangen, doch ich glaube, dass Ihr dafür geeignet seid. Was sagt Ihr dazu?
dlga_troublesome_bandits_quest_brief:merchant_quest_taken_bandits|In Ordnung. Ich werde diese Banditen zur Strecke bringen.
dlga_merchant_quest_taken_bandits:close_window|Tatsächlich? Ich freue mich so, das zu hören. Ich wünsche Euch viel Glück!
dlga_troublesome_bandits_quest_brief:merchant_quest_stall|Vergebt mir. Ich habe dafür momentan keine Zeit.
dlga_merchant_quest_requested:merchant_quest_brief.4|Ich war schon lange auf der Suche nach einem verlässlichen {Mann/Helfer}, der eine wichtige Mission für mich durchführen kann: Eine Gruppe Banditen hat die Tochter eines Freundes entführt und hält sie als Geisel. Mein Freund wird das Lösegeld zahlen, doch wir benötigen noch jemand, der es diesen Gaunern übergibt und das Mädchen sicher zurückbringt.
dlga_merchant_quest_brief:kidnapped_girl_quest_brief|Das von den Banditen geforderte Lösegeld beträgt {reg12} Dinare. Ich werde Euch das Geld geben, sobald Ihr die Quest akzeptiert. Ihr habt 15 tage, um den Banditen, die in der Nähe des Dorfes {s4} auf Euch warten werden, das Geld zu bringen. Diese Bastarde sagten, dass sie das arme Mädchen töten würden, wenn sie das Geld bis dahin nicht erhalten hätten. Wenn Ihr das Mädchen sicher hierher zurückbringt, werdet Ihr Eure Bezahlung von {reg8} Dinaren erhalten.
dlga_kidnapped_girl_quest_brief:kidnapped_girl_quest_taken|In Ordnung. Ich werde den Banditen das Lösegeld übergeben und das Mädchen zurückbringen.
dlga_kidnapped_girl_quest_taken:close_window|Gut. Ich wusste, dass ich Euch diese Aufgabe anvertrauen könnte. Hier ist das Lösegeld, {reg12} Dinare. Zählt es besser gleich nach. Und bitte unternehmt nichts Leichtsinniges. Vergesst nicht, dass das Wohlbefinden des Mädchens wichtiger als alles andere. 
dlga_kidnapped_girl_quest_brief:merchant_quest_stall|Vergebt mir. Ich habe dafür momentan keine Zeit.
dlga_start:close_window.21|Ich danke Euch so sehr, dass Ihr mich zurückgebracht habt! Ich kann es kaum erwarten, meine Familie zu sehen. Gehabt Euch wohl.
dlga_kidnapped_girl_liberated_map:kidnapped_girl_liberated_map_2a|Jawohl. Kommt mit mir. Wir gehen nach Hause.
dlga_kidnapped_girl_liberated_map_2a:close_window|Schade. Ihr habt in Eurem Trupp keinen Platz für mich.
dlga_kidnapped_girl_liberated_map_2a:close_window.1|Tatsächlich? Ich danke Euch so sehr!
dlga_kidnapped_girl_liberated_map:kidnapped_girl_liberated_map_2b|Harrt noch eine Weile hier aus. Ich werde zu Euch zurückkehren.
dlga_kidnapped_girl_liberated_map_2b:close_window|Oh, bitte, {mein Herr/meine Dame}, lasst mich hier nicht alleine!
dlga_start:kidnapped_girl_liberated_map|{mein Herr/meine Dame}, ich danke Euch so sehr für meine Rettung. Werdet Ihr mich nun zu meiner Familie bringen?
dlga_kidnapped_girl_liberated_battle:kidnapped_girl_liberated_battle_2a|Jawohl. Kommt mit mir. Wir gehen nach Hause.
dlga_kidnapped_girl_liberated_battle_2a:kidnapped_girl_liberated_battle_2b|Schade. Ihr habt in Eurem Trupp keinen Platz für mich.
dlga_kidnapped_girl_liberated_battle_2a:close_window|Tatsächlich? Ich danke Euch so sehr!
dlga_kidnapped_girl_liberated_battle:kidnapped_girl_liberated_battle_2b|Harrt noch eine Weile hier aus. Ich werde zu Euch zurückkehren.
dlga_kidnapped_girl_liberated_battle_2b:close_window|Oh, bitte, {mein Herr/meine Dame}, lasst mich hier nicht alleine!
dlga_start:kidnapped_girl_liberated_map.1|Kann ich jetzt mit Euch kommen?
dlga_start:bandits_awaiting_ransom_intro_1|Habt Ihr das Lösegeld? Schnell, gebt uns das Geld.
dlga_start:bandits_awaiting_ransom_intro_1.1|Ihr seid zurück? Schnell, gebt uns das Geld.
dlga_bandits_awaiting_ransom_intro_1:bandits_awaiting_ransom_pay|Hier, nehmt es. Lasst das Mädchen frei.
dlga_bandits_awaiting_ransom_pay:close_window|He! Ihr habt das Geld tatsächlich dabei. Ihr könnt das Mädchen jetzt mitnehmen. Schön, mit Euch Geschäfte zu machen ...
dlga_bandits_awaiting_ransom_intro_1:bandits_awaiting_ransom_b|Auf keinen Fall! Erst müsst Ihr das Mädchen freilassen.
dlga_bandits_awaiting_ransom_b:bandits_awaiting_ransom_b2|Ihr Narr! Hört mit Euren Spielchen auf und gebt uns das Geld!
dlga_bandits_awaiting_ransom_b2:bandits_awaiting_ransom_pay|In Ordnung. Hier ist Euer Geld. Lasst das Mädchen jetzt gehen.
dlga_bandits_awaiting_ransom_b2:bandits_awaiting_ransom_no_money|Ich habe das Geld an einem sicheren Ort gelassen. Ich werde es nun holen gehen.
dlga_bandits_awaiting_ransom_no_money:close_window|Wollt Ihr unsere Geduld auf die Probe stellen oder was? Geht, und bringt das Geld schnell her.
dlga_bandits_awaiting_ransom_b2:bandits_awaiting_ransom_fight|Ich beabsichtige nicht, Euch irgendwas zu zahlen. Ich verlange, dass Ihr das Mädchen sofort freilasst!
dlga_bandits_awaiting_ransom_fight:close_window|Tote stellen keine Forderungen mehr.
dlga_start:bandits_awaiting_remeet|Was ist denn noch? Ihr habt uns das Geld gegeben – wir haben mit Euch nichts mehr zu schaffen.
dlga_bandits_awaiting_remeet:close_window|Verzeiht, Euch belästigt zu haben. Ich werde mich nun auf den Weg machen.
dlga_bandits_awaiting_remeet:bandits_awaiting_remeet_2|Eine Sache wäre da noch ... Ihr werdet mir das Geld zurückgeben.
dlga_bandits_awaiting_remeet_2:close_window|Oh, das! Selbstverständlich. Darum wollen wir uns gleich kümmern.
dlga_start:kidnapped_girl_encounter_1|{mein Herr/meine Dame}, ich danke Euch so sehr für meine Rettung. Werdet Ihr mich nun zu meiner Familie bringen?
dlga_kidnapped_girl_encounter_1:kidnapped_girl_join|Jawohl. Kommt mit mir. Ich werde Euch nach Hause bringen.
dlga_kidnapped_girl_join:close_window|Schade. Ihr habt in Eurem Trupp keinen Platz für mich.
dlga_kidnapped_girl_join:close_window.1|Oh, ich danke Euch so sehr!
dlga_kidnapped_girl_encounter_1:kidnapped_girl_wait|Harrt noch eine Weile hier aus. Ich werde zu Euch zurückkehren.
dlga_kidnapped_girl_wait:close_window|Oh, bitte, {mein Herr/meine Dame}, lasst mich hier nicht alleine!
dlga_merchant_quest_about_job_2:lost_kidnapped_girl|Leider habe ich das Mädchen unterwegs verloren ...
dlga_lost_kidnapped_girl:lost_kidnapped_girl_2|Oh nein! Wie soll ich das meinem Freund beibringen?
dlga_lost_kidnapped_girl_2:lost_kidnapped_girl_3|Es tut mir Leid. Ich konnte nichts daran ändern.
dlga_lost_kidnapped_girl_3:lost_kidnapped_girl_4|Ihr habt mich im Stich gelassen, {playername}. Ich hatte Euch vertraut. Ich werde jedermann Eure Inkompetenz bei der Lösung dieser Aufgabe wissen lassen. Außerdem möchte ich die {reg8} Dinare zurück, die ich Euch als Lösegeld gegeben hatte.
dlga_lost_kidnapped_girl_4:merchant_quest_about_job_5a|Selbstverständlich. Bitte sehr ...
dlga_merchant_quest_about_job_5a:close_window|Zumindest seid Ihr anständig genug, mir das Geld zurück zu geben.
dlga_lost_kidnapped_girl_4:merchant_quest_about_job_5b|Vergebt mir. Ich habe diese Summe nicht bei mir.
dlga_merchant_quest_about_job_5b:close_window|Erwartet Ihr, dass ich Euch das glaube? Ihr werdet mir das Lösegeld zurückgeben! Geht und bringt mir sofort das Geld!
dlga_merchant_quest_requested:merchant_quest_persuade_peace_1|Dieser Krieg zwischen {s15} und {s14} hat unsere Stadt an den Rand des Ruins getrieben. Unsere Karawanen werden überfallen, bevor sie ihre Bestimmungsorte erreichen können. Aus diesem Grunde fürchten sich unsere Händler nun, den Schutz der Stadtmauern zu verlassen. Und als ob das nicht schon genug wäre, zehrt der Krieg auch noch unsere letzten Ersparnisse auf. Wenn der Frieden nicht bald kommt, können wir nicht mehr länger aushalten.
dlga_merchant_quest_persuade_peace_1:merchant_quest_brief|Ihr habt Recht. Wer kann diesen Irrsinn namens Krieg aufhalten?
dlga_merchant_quest_persuade_peace_1:merchant_quest_persuade_peace_reject|Es ist Eure Pflicht, die Nobelmänner bei Ihren Kriegsbemühungen zu unterstützen. Ihr solltet Euch nicht darüber beschweren.
dlga_merchant_quest_persuade_peace_reject:close_window|Ha. Die Nobelmänner tragen ihre Kriege wegen ihrer Gier und ihrer Machtträume aus. Und das arme, rechtschaffene Volk wie wir muss die tatsächliche Last tragen. Doch so was interessiert Euch doch sicherlich nicht.
dlga_merchant_quest_brief:merchant_quest_persuade_peace_3|Man hat versucht, die beiden Seiten miteinander zu versöhnen und ein Friedensabkommen abzuschließen, doch auf beiden Seiten gibt es mächtige Fürsten, die eher an einer Fortführung des Krieges interessiert sind. Diese Männer drängen alle anderen, den Worten verweichlichter Memmen keinen Glauben zu schenken, und den Krieg fortzusetzen. Solange diese Fürsten Einfluss haben, wird es keinen Frieden geben.
dlga_merchant_quest_persuade_peace_3:merchant_quest_persuade_peace_4|Wer sind diese Kriegstreiber, die den Frieden blockieren?
dlga_merchant_quest_persuade_peace_3:merchant_quest_persuade_peace_4.1|Wer sind diese Fürsten, von denen Ihr sprecht?
dlga_merchant_quest_persuade_peace_4:merchant_quest_persuade_peace_5|Es sind {s12} von {s15} und {s13} von {s14}. Bis sie nicht entweder ihren Verstand oder ihren Einfluss einbüßen, wird es zwischen den beiden Seiten keine Chance auf Frieden geben.
dlga_merchant_quest_persuade_peace_5:merchant_quest_persuade_peace_6|Wie kann die Situation geändert werden?
dlga_merchant_quest_persuade_peace_5:merchant_quest_persuade_peace_6.1|Ach, es scheint so, als ob gar nichts getan werden könnte.
dlga_merchant_quest_persuade_peace_6:merchant_quest_persuade_peace_7|Es gibt einen Weg, das Problem zu lösen: Eine besonders entschlossene Person könnte vielleicht einen oder beide dieser Fürsten zur Befürwortung des Friedens überreden. Sollte auch dies scheitern, könnten sie auch überwältigt und verhaftet werden. Im Kerker würden sie ihren Einfluss einbüßen und könnte ein Friedensabkommen nicht länger blockieren ... Was meint Ihr? Könnt Ihr diesen Auftrag übernehmen?
dlga_merchant_quest_persuade_peace_7:merchant_quest_persuade_peace_8|Es scheint schwierig zu sein. Doch ich werde es versuchen.
dlga_merchant_quest_persuade_peace_7:merchant_quest_persuade_peace_8.1|Wenn der Preis stimmt, werde ich es versuchen.
dlga_merchant_quest_persuade_peace_7:merchant_quest_persuade_peace_8.2|Vergesst es. Das ist nicht mein Problem.
dlga_merchant_quest_persuade_peace_8:merchant_quest_persuade_peace_9|Die meisten Händler in der Stadt werden zur Unterstützung eines solchen Plans nur zu gerne ihre Geldsäckel öffnen. Ich glaube, wir können unter unsereins dafür {reg12} Dinare sammeln, und wir werden Euch gerne mit dieser Summe belohnen, wenn Ihr Erfolg habt. Überzeugt {s12} und {s13} davon, ein Friedensabkommen anzunehmen, und wenn einer von ihnen zu stur dafür sein sollte, so nehmt ihn gefangen und lasst ihn nicht eher gehen, bevor das Friedensabkommen unterzeichnet ist.
dlga_merchant_quest_persuade_peace_9:merchant_quest_persuade_peace_10|In Ordnung. Ich werde mein Bestes geben.
dlga_merchant_quest_persuade_peace_9:merchant_quest_persuade_peace_no|Vergebt mir. Ich kann das nicht machen.
dlga_merchant_quest_persuade_peace_10:close_window|Ausgezeichnet. Ihr werdet unseren Segen haben. Ich hoffe, Ihr werdet mit diesen beiden alten Streithähnen zurechtkommen. Wir werden warten und auf gute Neuigkeiten hoffen.
dlga_merchant_quest_persuade_peace_no:close_window|Sagt nicht sofort zu. Überdenkt dies eine Weile. Wenn jemand mit dieser Situation klar kommt, dann Ihr.
dlga_merchant_quest_requested:merchant_quest_deal_with_night_bandits|Fürwahr, fürwahr! Eine Gruppe Banditen belästigt die Stadt und ich weiß nicht mehr, wie ich ihnen beikommen könnte. Im Schutze der Dunkelheit legen sie den Städtern Hinterhalte und rauben sie aus. Danach verschwinden sie wie der Blitz, bevor die Wachen endlich eintreffen. Nicht einen von ihnen konnten wir fangen! Sie greifen nur einzelne Städter an und zeigen sich nie, wenn eine Gruppe unterwegs ist. Ich suche jemanden, der es mit diesen Banditen alleine aufnehmen und sie besiegen kann. Das scheint der einzige Weg zu sein, ihrer habhaft zu werden. Seid Ihr der Aufgabe gewachsen?
dlga_merchant_quest_deal_with_night_bandits:deal_with_night_bandits_quest_taken|Banditen töten? Aber nur zu gerne!
dlga_merchant_quest_deal_with_night_bandits:merchant_quest_stall|Verzeiht, aber ich bin nicht interessiert.
dlga_deal_with_night_bandits_quest_taken:mayor_pretalk|Das nimmt mir eine große Last von den Schultern, {playername}. Wenn Ihr erfolgreich seid, könnt Ihr eine großzügige Belohnung erwarten. Seht einfach zu, dass man Euch nicht tötet ...
dlga_merchant_quest_requested:merchant_quest_brief.5|Einer der Händler hier sucht nach Kuhhirten, die seine Rinder zum Markt in {s13} bringen.
dlga_merchant_quest_brief:move_cattle_herd_quest_brief|Die Rinderherde muss innerhalb von 30 Tagen in {s13} eintreffen. Früher wäre natürlich besser, viel besser! Doch sie darf keinesfalls später als in 30 Tagen dort ankommen. Wenn Ihr das machen könnt, würde ich dafür mit {reg8} Dinaren entlohnen. Interessiert?
dlga_move_cattle_herd_quest_brief:move_cattle_herd_quest_taken|Klar, ich kann die Herde nach {s13} bringen.
dlga_move_cattle_herd_quest_brief:merchant_quest_stall|Es tut mir Leid, ich muss ablehnen.
dlga_move_cattle_herd_quest_taken:mayor_pretalk|Schön. Ihr findet die Herde außerhalb der Stadtmauern. Kehrt zu mir zurück, nachdem Ihr die Tiere nach {s13} gebracht habt, und Ihr werdet Eure Bezahlung erhalten.
dlga_merchant_quest_requested:mayor_pretalk|Ich fürchte, ich habe momentan keine Aufgabe für Euch.
dlga_start:village_elder_deliver_cattle_thank|{mein Herr/meine Dame}. Unser Dorf ist dankbar für Eure Hilfe. Mit den {reg5} Rindern, die Ihr gebracht habt, können wir nun eine eigene Herde züchten.
dlga_village_elder_deliver_cattle_thank:village_elder_talk|Oh {Fürst/Fürstin}, ich bitte Euch ... gibt es etwas, das wir für Euch tun können?
dlga_start:village_elder_talk|Guten Tag, {mein Herr/meine Dame}, und willkommen in {s9}. Ich bin der Älteste dieses Dorfes.
dlga_start:village_elder_talk.1|Willkommen in {s9}, mein {Fürst/Fürstin}. Wir frohlockten ob der Neuigkeit, dass unser bescheidenes Dorf nun zu Eurem Lehen gehört. Ich bin der Dorfälteste und ich werde fühle mich geehrt, Euch so gut ich kann zu dienen.
dlga_start:village_elder_talk.2|{Mein Fürst/Meine Dame}, Ihr ehrt unser bescheidenes Dorf mit Eurer Gegenwart.
dlga_start:village_elder_talk.3|Guten Tag, {mein Herr/meine Dame}.
dlga_village_elder_pretalk:village_elder_talk|Gibt es etwas, das ich für Euch tun kann?
dlga_village_elder_talk:village_elder_ask_fugitive|Ich suche nach einem Mann namens {s4}. Man sagte mir, er würde sich hier versteckt halten.
dlga_village_elder_ask_fugitive:village_elder_pretalk|In unserem Dorf gehen Fremde ein und aus, {mein Herr/meine Dame}. Ich bezweifle jedoch, dass Ihr ihn zu dieser späten Stunde aufspüren werdet. Am Tage würdet Ihr damit mehr Glück haben.
dlga_village_elder_ask_fugitive:close_window|In unserem Dorf gehen Fremde ein und aus, {mein Herr/meine Dame}. Wenn er sich hier aufhält, werdet Ihr ihn sicherlich ausfindig machen, wenn Ihr Euch ein wenig umseht.
dlga_village_elder_talk:village_elder_active_mission_1|Wegen der Aufgabe, um die Ihr mich gebeten hattet ...
dlga_village_elder_talk:village_elder_request_mission_ask|Habt Ihr irgendwelche Aufgaben, die ich für Euch erfüllen könnte?
dlga_village_elder_talk:village_elder_trade_begin|Ich möchte einige Vorräte kaufen. Ich werde mit Gold bezahlen.
dlga_village_elder_trade_begin:village_elder_trade_talk|Natürlich, {mein Herr/meine Dame}. Möchtet Ihr Waren oder Rinder kaufen?
dlga_village_elder_trade_talk:village_elder_trade|Ich möchte Nahrung und Vorräte kaufen.
dlga_village_elder_trade:village_elder_pretalk|Wir haben in unserem Lagerhaus etwas Nahrung und andere Vorräte. Kommt und seht Euch um.
dlga_village_elder_trade_talk:village_elder_buy_cattle|Ich möchte einige Rinder kaufen.
dlga_village_elder_trade_talk:village_elder_pretalk|Ich habe meine Meinung geändert. Ich möchte doch lieber nichts kaufen.
dlga_village_elder_talk:village_elder_ask_enemies|Habt Ihr in der Nähe in letzter Zeit Feinde gesehen?
dlga_village_elder_ask_enemies:village_elder_pretalk|Verzeiht, {mein Herr/meine Dame}. Wir haben in dieser Gegend weder Streitmächte gesehen, noch von ihnen gehört.
dlga_village_elder_ask_enemies:village_elder_tell_enemies|Hmmm. Lasst mich einmal nachdenken ...
dlga_village_elder_tell_enemies:village_elder_tell_enemies|{s1} {s2}
dlga_village_elder_tell_enemies:village_elder_pretalk|Nein, {mein Herr/meine Dame}. Wir haben in dieser Gegend seit einiger Zeit keine Streitmächte mehr gesehen.
dlga_village_elder_tell_enemies:village_elder_pretalk.1|Wohlan, das war dann wohl alles.
dlga_village_elder_talk:village_elder_recruit_start|Gibt es in diesem Dorf vielleicht einige junge Recken, die Ihr mit dem Kriegshandwerk versuchen wollen?
dlga_village_elder_talk:close_window|[Weiterziehen]
dlga_village_elder_buy_cattle:village_elder_buy_cattle_2|Wir haben {reg5} Rinder zum Preis von {reg6} Dinaren pro Tier. Wie viele wollt Ihr kaufen?
dlga_village_elder_buy_cattle:village_elder_buy_cattle_2.1|{mein Herr/meine Dame}, unser Dorf hat leider keine Rinder mehr übrig.
dlga_village_elder_buy_cattle_2:village_elder_buy_cattle_complete|Eins.
dlga_village_elder_buy_cattle_2:village_elder_buy_cattle_complete.1|Zwei.
dlga_village_elder_buy_cattle_2:village_elder_buy_cattle_complete.2|Drei.
dlga_village_elder_buy_cattle_2:village_elder_buy_cattle_complete.3|Vier.
dlga_village_elder_buy_cattle_2:village_elder_buy_cattle_complete.4|Fünf.
dlga_village_elder_buy_cattle_2:village_elder_pretalk|Vergesst es.
dlga_village_elder_buy_cattle_complete:village_elder_pretalk|{mein Herr/meine Dame}, ich werde den Hirten auftragen, die Tiere zusammen zu treiben, und sie Euch zu bringen. Ich bin sicher, dass Ihr mit Eurem Kauf zufrieden sein werdet.
dlga_village_elder_recruit_start:village_elder_talk|{mein Herr/meine Dame}, ich glaube nicht, dass irgendjemand interessiert sein würde. Gibt es etwas, das ich für Euch tun kann?
dlga_village_elder_recruit_start:village_elder_recruit_decision|Ich habe da {reg5} im Sinne, der die Gelegenheit wohl sofort beim Schopfe ergreifen würden. Wenn Ihr 10 Dinare zahlen könntet {reg7?für jeden Ausrüstungsgegenstand:für seine Ausrüstung} .... wäre das für Euch in Ordnung?
dlga_village_elder_recruit_decision:village_elder_pretalk|So sei es.
dlga_village_elder_recruit_decision:village_elder_pretalk.1|Sagt {reg7?ihnen:ihm}, sich fertig zu machen.
dlga_village_elder_recruit_decision:village_elder_pretalk.2|Nein, nicht jetzt.
dlga_village_elder_active_mission_1:village_elder_active_mission_2|Ja, {mein Herr/meine Dame}, habt Ihr schon Fortschritte erzielt?
dlga_village_elder_active_mission_2:village_elder_deliver_grain_thank|In der Tat. Ich habe Euch {reg5} Bündel Weizen gebracht.
dlga_village_elder_deliver_grain_thank:village_elder_deliver_grain_thank_2|Oh {Fürst/Fürstin}, Ihr habt uns vor Hunger und Verzweiflung bewahrt. Wir können Euch gar nicht genug danken, doch wir werden Euch für immer in unsere Gebete einschließen. Das Dorf {s13} wird nicht vergessen, was Ihr für uns getan habt.
dlga_village_elder_deliver_grain_thank_2:village_elder_talk|Oh {Fürst/Fürstin}, ich bitte Euch, gibt es etwas, das wir für Euch tun können?
dlga_village_elder_active_mission_2:village_elder_active_mission_3|Ich arbeite noch daran.
dlga_village_elder_active_mission_2:village_elder_mission_failed|Ich fürchte, ich werde die Aufgabe nicht erfüllen können.
dlga_village_elder_active_mission_3:village_elder_pretalk|Vielen Dank, {mein Herr/meine Dame}. Wir beten jeden Tag für Euren Erfolg.
dlga_village_elder_mission_failed:village_elder_pretalk|Ah, es grämt mich, das zu hören, {mein Herr/meine Dame}. Ich werde versuchen, an etwas anderes zu denken.
dlga_village_elder_request_mission_ask:village_elder_pretalk|Nun, {mein Herr/meine Dame}, Ihr helft uns bereits mit einer Aufgabe. Wir können unmöglich mehr von Euch verlangen.
dlga_village_elder_request_mission_ask:village_elder_pretalk.1|Nein, {mein Herr/meine Dame}, wir haben keine anderen Aufgaben für Euch.
dlga_village_elder_request_mission_ask:village_elder_tell_mission|Eine Aufgabe?
dlga_village_elder_tell_mission:village_elder_tell_deliver_grain_mission|{Mein guter Herr/Meine gute Herrin}, unser Dorf hat schwere Zeiten zu überstehen: Die Ernte war schlecht, und kürzlich haben uns erbarmungslose Banditen das Getreide gestohlen, das wir zur Aussaat aufgehoben hatten. Wenn wir dieses Getreide nicht bald finden, werden wir unsere Felder nicht bestellen können, und dann werden wir im kommenden Jahr Hunger leiden müssen. Wenn Ihr uns helfen könnt, würden wir für immer in Eurer Schuld stehen.
dlga_village_elder_tell_deliver_grain_mission:village_elder_tell_deliver_grain_mission_2|Hmmm. Wie viel Getreide benötigt Ihr?
dlga_village_elder_tell_deliver_grain_mission:village_elder_deliver_grain_mission_reject|Solche Aufgaben interessieren mich nicht. Bittet jemand anderen um Hilfe.
dlga_village_elder_tell_deliver_grain_mission_2:village_elder_tell_deliver_grain_mission_3|Mit {reg5} Bündeln Weizen konnten wir wohl mit dem Anpflanzen beginnen. Hoffentlich können wir mildtätige Leute finden, die uns mit dem Rest helfen.
dlga_village_elder_tell_deliver_grain_mission_3:village_elder_deliver_grain_mission_accept|Dann werde ich mich aufmachen und Euch den benötigten Weizen besorgen.
dlga_village_elder_tell_deliver_grain_mission_3:village_elder_deliver_grain_mission_reject|Ich fürchte, ich habe keine Zeit dafür. Ihr werdet woanders Hilfe finden müssen.
dlga_village_elder_deliver_grain_mission_accept:close_window|Vielen Dank, {mein Herr/meine Dame}. Wir werden Nacht und Tag für Euch beten.
dlga_village_elder_deliver_grain_mission_reject:close_window|Ja, {mein Herr/meine Dame}, natürlich. Verzeiht, dass ich Euch mit unserem Kummer belastet haben.
dlga_village_elder_tell_mission:village_elder_tell_train_peasants_against_bandits_mission|Wir haben sehr unter einer Gruppe Banditen zu leiden: Sie stehlen unsere Nahrung und unser Vieh, und töten jeden, der ihnen nicht sofort gehorcht. Unsere Männer sind wütend, dass wir uns nicht verteidigen können, doch wir sind nur einfache Bauern ... mit etwas Hilfe könnte man aus einigen Dörflern jedoch etwas mehr herausholen. Wir brauchen einfach einen erfahrenen Kämpfer, der uns die Kampfeskunst lehrt.
dlga_village_elder_tell_train_peasants_against_bandits_mission:village_elder_train_peasants_against_bandits_mission_accept|Ich kann Euch beibringen, wie Ihr Euch verteidigen könnt.
dlga_village_elder_tell_train_peasants_against_bandits_mission:village_elder_train_peasants_against_bandits_mission_reject|Ihr Bauernvolk solltet Eure Finger von Waffen lassen. Zahlt die Banditen einfach, und das Problem ist gelöst.
dlga_village_elder_train_peasants_against_bandits_mission_accept:close_window|Tatsächlich? Oh, wie schön! Wir stünden tief in Eurer Schuld, {mein Herr/meine Dame}. Ich werde den Dörflern sagen, hierher zu kommen und sich von Euch im Kampfe unterweisen lassen. Wenn Ihr uns die Selbstverteidigung lehren könnt, werden wir Euch dafür bei meinem Ehrenwort alles geben, was wir können.
dlga_village_elder_train_peasants_against_bandits_mission_reject:close_window|Ja, natürlich, {mein Herr/meine Dame}. Vielen Dank für Euren Rat.
dlga_village_elder_tell_mission:village_elder_tell_deliver_cattle_mission|Banditen haben unsere Rinder gestohlen. Unsere Weiden sind leer. Mit einigen wenigen Rindern könnten wir eine neue Herde züchten.
dlga_village_elder_tell_deliver_cattle_mission:village_elder_tell_deliver_cattle_mission_2|Wie viele Tiere benötigt Ihr?
dlga_village_elder_tell_deliver_cattle_mission:village_elder_deliver_cattle_mission_reject|Ich habe keine Zeit hierfür. Bittet jemand anderen um Hilfe.
dlga_village_elder_tell_deliver_cattle_mission_2:village_elder_tell_deliver_cattle_mission_3|Ich glaube, {reg5} Rinder sollten für eine kleine Herde ausreichen.
dlga_village_elder_tell_deliver_cattle_mission_3:village_elder_deliver_cattle_mission_accept|Dann werde ich Euch die Rinder bringen, die Ihr benötigt.
dlga_village_elder_tell_deliver_cattle_mission_3:village_elder_deliver_cattle_mission_reject|Ich fürchte, ich habe keine Zeit dafür. Ihr werdet woanders Hilfe finden müssen.
