str_no_string|NO STRING!
str_comment_pledged_allegiance_allied_cunning_unfriendly|Ich höre, Ihr habt unserem Fürst {s54} die Treue geschworen. Ich werde nicht vortäuschen, über seine Entscheidung glücklich zu sein, aber vielleicht ist es besser, dass Ihr aus unserem Zelt hinauspinkelt, als von außen herein.
str_comment_pledged_allegiance_allied_cunning|Ich höre, Ihr habt unserem Fürst {s54} die Treue geschworen. Das ist gut. Je mehr fähige Kämpfer wir in diesen schwierigen Zeiten bei uns haben, desto besser. Ich werde Euren Fortschritt im Auge behalten.
str_comment_pledged_allegiance_allied_debauched_unfriendly|Ich höre, Ihr habt unserem Fürst {s54} die Treue geschworen. Zweifelsohne werdet Ihr ihn bald verraten, und ich werde die Freude haben, Euch den Tod eines Verräters sterben zu sehen.
str_comment_pledged_allegiance_allied_debauched|Ich höre, Ihr habt unserem Fürst {s54} die Treue geschworen. Ausgezeichnet ... Ich bin sicher, dass Ihr und ich sehr gute Freunde werden. Aber denkt immer daran -- wenn Ihr uns zu verraten gedenkt, so wird es der größte Fehler sein, den Ihr je machen werdet.
str_comment_pledged_allegiance_allied_goodnatured_unfriendly|Ich höre, Ihr habt unserem Fürst {s54} die Treue geschworen. Nun, ich kann nicht behaupten, dass ich Euch vertraut hätte, aber vielleicht habt Ihr etwas Vertrauensvorschuss verdient.
str_comment_pledged_allegiance_allied_goodnatured|Ich höre, Ihr habt unserem Fürst {s54} die Treue geschworen. {Guter Mann/Gute Frau}! Unser Fürst ist eine noble Seele und belohnt Treue und Tapferkeit mit Gunst und Großzügigkeit.
str_comment_pledged_allegiance_allied_upstanding_unfriendly|Ich höre, Ihr habt unserem Fürst {s54} die Treue geschworen. Und doch ... nach allem, was ich über Euch gehört habe, fürchte ich, dass Ihr Schande über uns bringt, aber ich werde glücklich sein, wenn Ihr mich Lügen straft.
str_comment_pledged_allegiance_allied_upstanding|Ich höre, Ihr habt unserem Fürst {s54} die Treue geschworen. Kämpft gegen unsere Feinde mit Tapferkeit, aber auch mit Ehre und Mitgefühl. Im Kampf ist ein guter Name so wertvoll wie ein scharfes Schwert oder ein schnelles Pferd.
str_comment_our_king_granted_you_a_fief_allied_friendly_cruel|Ich hörte, dass {s54} Euch {s51} als Lehen gab. Vergesst nicht -- wer mit der Rute spart, verzieht den Bauern!
str_comment_our_king_granted_you_a_fief_allied_friendly_cynical|Ich hörte, dass {s54} Euch {s51} als Lehen gab. Ich bin froh, zu sehen, dass es Euch wohl ergeht -- aber seid vorsichtig. Männer sind Schlangen, neidisch und gierig auf den Reichtum ihrer Nachbarn. Bleibt nahe bei mir, und ich werde auf Euch aufpassen.
str_comment_our_king_granted_you_a_fief_allied_friendly|Ich hörte, dass {s54} Euch {s51} als Lehen gab. Mögen Eure neuen Ländereien florieren.
str_comment_our_king_granted_you_a_fief_allied_unfriendly_upstanding|Ich hörte, dass {s54} Euch {s51} als Lehen gab. Aber denkt daran, dass Hochmut vor dem Fall kommt.
str_comment_our_king_granted_you_a_fief_allied_unfriendly_spiteful|Ich hörte, dass {s54} Euch {s51} als Lehen gab. Ich vermute jedoch, dass das Glück Euch nur auf Händen trägt, um Euch bald wieder in den Dung fallen zu lassen, aus dem Ihr gekrochen seid.
str_comment_our_king_granted_you_a_fief_allied_spiteful|Ich hörte, dass {s54} Euch {s51} als Lehen gab. Hoffen wir, dass wir auch wirklich der Gunst unseres Herrn würdig sind.
str_comment_our_king_granted_you_a_fief_allied|Ich hörte, dass {s54} Euch {s51} als Lehen gab. Euch scheint es ja sehr gut zu gehen.
str_comment_you_renounced_your_alliegance_enemy_friendly|Ich höre, Ihr habt Euren Treueschwur für unseren Fürsten {s54} aufgekündigt. Es peint mich, dass wir uns nun auf dem Schlachtfeld gegenüber stehen müssen.
str_comment_you_renounced_your_alliegance_friendly|Ich höre, Ihr habt Euren Treueschwur für unseren Fürsten {s54} aufgekündigt. Lasset uns beten, dass es nicht zu Handgreiflichkeiten zwischen uns kommt.
str_comment_you_renounced_your_alliegance_unfriendly_spiteful|Ich habe Euch immer für einen Verräter an {s54} gehalten, und es scheint, ich habe Recht behalten. Ich hoffe, Ihr seid bereit, den Tod eines Verräters zu sterben!
str_comment_you_renounced_your_alliegance_unfriendly_moralizing|Ich höre, Ihr habt Euren Treueschwur für unseren Fürsten {s54} aufgekündigt. Ich bin gezwungen, Euch für einen Verräter zu halten.
str_comment_you_renounced_your_alliegance_enemy|Ich höre, Ihr habt Euren Treueschwur für unseren Fürsten {s54} aufgekündigt. Nun, so ist es eben, wenn alte Kameraden zu Feinden werden.
str_comment_you_renounced_your_alliegance_default|Ich höre, Ihr habt Euren Treueschwur für unseren Fürsten {s54} aufgekündigt. Nun, das ist Eure Entscheidung, aber erwartet nicht, dass ich es Euch auf dem Schlachtfeld leicht machen werde.
str_personality_archetypes|Lehen
str_martial|kriegerisch
str_quarrelsome|missmutig
str_selfrighteous|gnadenlos
str_cunning|verschlagen
str_debauched|sadistisch
str_goodnatured|gutgelaunt
str_upstanding|aufrecht
str_surrender_demand_default|Gebt auf oder sterbt!
str_surrender_demand_martial|Das Glück ist Euch heute nicht hold. Ihr könnt gegen uns kämpfen, aber es ist keine Schande in der Flucht.
str_surrender_demand_quarrelsome|Ich habe Euch in die Ecke gedrängt. Gebt auf, oder ich trample Euch nieder wie einen Hund.
str_surrender_demand_pitiless|Ihr könnt mich nicht besiegen, und ich werde Euch eine schmerzhafte Lektion erteilen, wenn Ihr es versucht. Gebt auf!
str_surrender_demand_cunning|Heute ist nicht Euer Tag. Gebt auf -- wenn schon nicht für Euer eigenes Heil, dann wenigstens für das Eurer Männer!
str_surrender_demand_sadistic|Gebt auf, oder ich schlag Euch das Wams in Flammen!
str_surrender_demand_goodnatured|Wir sind Euch gegenüber im Vorteil. Gebt auf, und man wird Euch gut behandeln.
str_surrender_demand_upstanding|Ihr könnt uns bekämpfen, aber viele Eurer Männer werden sterben, und vielleicht verliert Ihr. Gebt auf, und erspart uns beiden das unnötige Blutvergießen.
str_surrender_offer_default|Haltet ein! Ich gebe auf!
str_surrender_offer_martial|Haltet ein! Ich gebe auf!
str_surrender_offer_quarrelsome|Genug! Heute gewinnt Ihr, Hundesohn! Ach, die Schande!
str_surrender_offer_pitiless|Ich gebe auf! Ihr habt gewonnen. Verflucht sei dieser Tag!
str_surrender_offer_cunning|Haltet ein! Ich ergebe mich Euch!
str_surrender_offer_sadistic|Ich gebe auf! Ich gebe auf! Ruft Eure Köter zurück!
str_surrender_offer_goodnatured|Ich gebe auf! Glückwunsch zu Eurem Sieg, {mein Herr/meine Dame}!
str_surrender_offer_upstanding|Ich gebe auf! Gewährt mir die Kriegsehren, und zementiert Euren guten Ruf!
str_prisoner_released_default|Ihr habt meinen Dank, {mein Herr/meine Dame}. Ich werde Eure Freundlichkeit nicht vergessen.
str_prisoner_released_martial|Ihr seid fürwahr ein ehrenwerter Mensch, {mein Herr/meine Dame}. Ich werde dies nicht vergessen!
str_prisoner_released_quarrelsome|Ich bin frei? Nun ... Dann lebt wohl.
str_prisoner_released_pitiless|Vielen Dank. Wenn Ihr endlich besiegt seid, werde ich darum bitten, Euren Tod schnell und barmherzig zu gestalten. Es sei denn, Ihr schließt Euch uns an ... Lebt wohl.
str_prisoner_released_cunning|Ja? Ihr seid ein guter Mensch. Ich werde versuchen, Euch es zurückzuzahlen.
str_prisoner_released_sadistic|Ja? So perfide ist Eure Grausamkeit, dass Ihr mich eher frei und erniedrigt sehen wollt als in Ketten. Genießt Euren Triumph!
str_prisoner_released_goodnatured|Ihr seid fürwahr ein ehrenwerter Mensch, {mein Herr/meine Dame}. Ich werde dies nicht vergessen!
str_prisoner_released_upstanding|Ihr seid fürwahr ein ehrenwerter Mensch, {mein Herr/meine Dame}. Ich werde dies nicht vergessen!
str_enemy_meet_default|Wer seid Ihr, der Ihr da in Waffen auf mich zukommt?
str_enemy_meet_martial|Wie lautet Euer Name, {mein Herr/meine Dame}? Wenn es zu Handgreiflichkeiten kommt, weiß ich, gegen wen ich kämpfen werde.
str_enemy_meet_quarrelsome|Wer zum Teufel seid Ihr?
str_enemy_meet_pitiless|Wer seid Ihr? Sprecht, so dass ich weiß, wen ich erschlage.
str_enemy_meet_cunning|Sagt mir Euren Namen. Es ist immer gut, den Feind zu kennen.
str_enemy_meet_sadistic|Wer seid Ihr? Sprecht schnell, bevor ich Euch die Zunge herausschneide.
str_enemy_meet_goodnatured|Wie lautet Euer Name, {mein Herr/meine Dame}? Wenn es zu Handgreiflichkeiten kommt, weiß ich, gegen wen ich kämpfen werde.
str_enemy_meet_upstanding|Wer seid Ihr, der in Waffen kommt, unsere rechtmäßige Sache in Frage zu stellen?
str_battle_won_default|Ihr habt Euch heute als ein höchst wertvoller Verbündeter erwiesen.
str_battle_won_martial|Es gibt kein größeres Glück als die Chance, seine Tapferkeit auf dem Feld der Ehre zu zeigen!
str_battle_won_quarrelsome|Hah! Wir haben's den Schweinen da aber gezeigt, was?
str_battle_won_pitiless|Zusammen werden wir den Feind lehren, unsere Namen zu fürchten und bei unserem Anblick zu zittern!
str_battle_won_cunning|Jetzt müssen wir unseren Vorteil ausbauen, damit das heute vergossene Blut nicht vergeudet wurde.
str_battle_won_sadistic|Lasst uns jetzt ihre Toten fleddern und sie den Krähen überlassen, auf dass alle Welt das Schicksal derer sehen kann, die sich gegen uns stellen.
str_battle_won_goodnatured|Das war ein feiner Kampf! Keine Freude ist wie die Siegesfreude, was?
str_battle_won_upstanding|Lasst uns nun dem Himmel für unseren Sieg danken, und die vielen guten Männer betrauern, die heute fielen.
str_battle_won_grudging_default|Ihr habt heute geholfen, das Schicksal zu wenden. Was auch immer ich von Euch denken mag, Eure Tapferkeit kann ich Euch nicht absprechen.
str_battle_won_grudging_martial|{playername} -- Ihr habt Euch heute als würdigen Menschen gezeigt, egal, welche Missetaten Ihr in der Vergangenheit begangen habt.
str_battle_won_grudging_quarrelsome|Hmpf. Euer Gesicht sehe ich normalerweise zwar nicht so gerne, aber ich nehme an, heute sollte ich Euch für Eure Hilfe danken.
str_battle_won_grudging_pitiless|Eure Hilfe war heute höchst wertvoll. Ich denke zwar nicht, dass Ihr mir aus Großzügigkeit zu Hilfe kamt, aber trotzdem danke ich Euch.
str_battle_won_grudging_cunning|Es wäre nicht weise von mir, Euch nicht dafür zu danken, mir in meiner Stunde der Not zu Hilfe zu kommen. Also ... habt meinen Dank.
str_battle_won_grudging_sadistic|Nun! Wie rührend! {playername} ist zu meiner Rettung gekommen.
str_battle_won_grudging_goodnatured|{playername}! Ich kann nicht sagen, dass wir uns in der Vergangenheit immer gut verstanden haben, aber Ihr habt heute gut gekämpft. Meinen Dank an Euch!
str_battle_won_grudging_upstanding|Vielleicht habe ich mich in Euch getäuscht. Eure Ankunft kam zur rechten Zeit. Ihr habt meine Dankbarkeit.
str_battle_won_unfriendly_default|Hier seid Ihr also. Nun, besser spät als nie.
str_battle_won_unfriendly_martial|Wir haben in der Vergangenheit harsche Worte gewechselt, aber lasst uns jetzt einfach unseren Sieg genießen.
str_battle_won_unfriendly_quarrelsome|Wenn Ihr da steht und auf Dank wartet, dann könnt Ihr lange warten. Eure Hilfe war nicht unbedingt vonnöten, aber Ihr hattet vermutlich nichts Besseres zu tun, hm?
str_battle_won_unfriendly_pitiless|Ihr seid hergekommen wie ein Schakal zur Beute eines Löwen. Nun gut also, nehmt Euch von der Beute. Ich werde Euch nicht aufhalten.
str_battle_won_unfriendly_cunning|{playername} ... Nun, ich nehme an, Eure Hilfe hat nicht geschadet, obwohl ich nicht vortäuschen werde, über Eure Gegenwart glücklich zu sein.
str_battle_won_unfriendly_sadistic|Zurück, Aasfresser! Dies war mein Sieg, egal, wie sehr Ihr versuchtet, den Ruhm für Euch zu stehlen .
str_battle_won_unfriendly_goodnatured|Oh, Ihr seid es. Nun, Ich nehme an, ich sollte Euch für Eure Hilfe danken.
str_battle_won_unfriendly_upstanding|Seid bedankt, zu meiner Unterstützung gekommen zu sein. Nun werde ich gehen, bevor ich etwas sage, das ich später bereue.
str_troop_train_request_default|Ich brauche jemanden wie Euch, um sie in Form zu bringen.
str_troop_train_request_martial|Sie brauchen jemanden, der ihnen die Bedeutung von Tapferkeit beibringt.
str_troop_train_request_quarrelsome|Fette, faule Säcke. Mir wird schlecht, wenn ich sie sehe.
str_troop_train_request_pitiless|Sie haben mehr Angst vor dem Feind als vor mir, und das ist nicht recht.
str_troop_train_request_cunning|Aber Männer sind wie Schwerter: Feuer zähmt und härtet sie.
str_troop_train_request_sadistic|Sie brauchen jemanden mit eisernem Rückgrat, um ihnen Mut einzupeitschen, oder sie beim Versuch umzubringen.
str_troop_train_request_goodnatured|Es sind gute Jungs, aber ich fürchte, sie sind noch nicht ganz bereit für die Schlacht.
str_troop_train_request_upstanding|Es käme kaltblütigem Mord gleich, sie in ihrem momentanen Zustand in den Kampf zu schicken.
str_unprovoked_attack_default|Was? Warum greift Ihr uns an? Sprecht, Schurke!
str_unprovoked_attack_martial|Ich habe nichts gegen eine Waffenprobe einzuwenden, aber ich möchte doch gerne wissen, warum Ihr uns angreift?
str_unprovoked_attack_quarrelsome|Du begehst einen schweren Fehler, {Junge/Mädchen}. Was glaubst du, das du tust?
str_unprovoked_attack_pitiless|Tatsächlich? Wenn Ihr wirklich heute sterben wollt, so bin ich mehr als bereit, Euch dabei zur Hand zu gehen, aber ich würde doch zu gerne wissen, was Ihr damit zu bewirken gedenkt.
str_unprovoked_attack_cunning|Tatsächlich? Ich denke, dass Ihr höchst unklug handelt. Was denkt Ihr, damit zu erreichen?
str_unprovoked_attack_sadistic|Was ist das? Mögt Ihr es, wenn Eure Augen ausgestochen werden?
str_unprovoked_attack_goodnatured|Warum tut Ihr dies? Es besteht kein Zwist zwischen uns, {mein Herr/meine Dame}.
str_unprovoked_attack_upstanding|Ich sehe dies als einen unprovozierten Angriff an und werde mich bei Eurem König beschweren. Warum tut Ihr dies?
str_unnecessary_attack_default|Ich werde nicht zögern, Euch wenn nötig niederzustrecken, aber ich biete Euch die Gelegenheit, von hier weg zu reiten.
str_unnecessary_attack_martial|Ich bin erpicht darauf, Eure Herausforderung anzunehmen, {mein Herr/meine Dame}, obwohl ich Euch eine Minute geben will, Euch zu besinnen.
str_unnecessary_attack_quarrelsome|Bah! Ich bin heute nicht in der Stimmung für diesen Unsinn. Aus dem Weg.
str_unnecessary_attack_pitiless|Ich bin heute in gnädiger Stimmung. Ich werde so tun, als hätte ich das überhört.
str_unnecessary_attack_cunning|Ich verstehe nicht, was Ihr damit erreicht, mich zu Eurem Feind zu machen. Vielleicht solltet Ihr einfach wegreiten.
str_unnecessary_attack_sadistic|Ich kann keine Zeit auf einen Wurm wie Euch verschwenden. Aus dem Weg.
str_unnecessary_attack_goodnatured|Ich verstehe nicht, was Ihr damit erreicht, einen Streit vom Zaun zu brechen, {mein Herr/meine Dame}. Ihr könnt immer noch wegreiten.
str_unnecessary_attack_upstanding|Wenn Ihr wirklich einen Kampf im Auge habt, {mein Herr/meine Dame}, dann bekommt Ihr auch einen, aber ich werde Euch die Gelegenheit geben, die Herausforderung zurückzuziehen.
str_lord_challenged_default|Wie Ihr wünscht. Bereitet Euch auf den Tod vor!
str_lord_challenged_martial|So sei es. Verteidigt Euch!
str_lord_challenged_quarrelsome|Frecher Hundling! Ich werde Euch zerquetschen!
str_lord_challenged_pitiless|Wenn Ihr so einen starken Todeswunsch habt, kann ich nicht anders, als ihm nachzukommen.
str_lord_challenged_cunning|Nun, wenn Ihr mit keine andere Wahl lasst...
str_lord_challenged_sadistic|Schmutzpuckel, garstiger! Ich werde Euch wünschen lasse, Ihr wäret nie geboren.
str_lord_challenged_goodnatured|Nun gut. Ich hatte gehofft, einen Kampf zu vermeiden, aber ich sehe, dass mir keine Wahl bleibt.
str_lord_challenged_upstanding|So sei es. Es stimmt mich bitter, dass Ihr nicht zur Vernunft kommen wollt.
str_lord_mission_failed_default|Nun, ich bin enttäuscht, aber ich bin mir auch sicher, dass Ihr viele Gelegenheiten haben werdet, Euch zu rehabilitieren.
str_lord_mission_failed_martial|Es ist keine Ehre darin, auf einer Quest zu versagen, aber wie Ihr wollt.
str_lord_mission_failed_quarrelsome|Ihr habt versagt? Bah. Das hätte ich von jemandem wie Euch erwarten sollen.
str_lord_mission_failed_pitiless|Ihr habt versagt? Nun, Ihr enttäuscht mich. Das ist eine sehr unkluge Entscheidung.
str_lord_mission_failed_cunning|Nun, ich bin enttäuscht, aber niemand kann garantieren, dass die Winde des Schicksals ihm immer wohlgesonnen sind.
str_lord_mission_failed_sadistic|Tatsächlich? Leute, die ihre Verpflichtungen nicht einhalten, überleben oft nicht lange genug, um es zu bereuen.
str_lord_mission_failed_goodnatured|Oh, gut. Es war sowieso eher spekulativ. Seid bedankt für Eure Bemühungen.
str_lord_mission_failed_upstanding|Nun gut. Ich bin sicher, Ihr habt Euch nach Kräften angestrengt.
str_lord_follow_refusal_default|Euch folgen? Ihr vergesst Euren Platz, {mein Herr/meine Dame}.
str_lord_follow_refusal_martial|Wenn Ihr Euch eines Tages als mutiger und ehrenvoller Krieger erweist, dann werde ich Euch vielleicht folgen. Aber nicht heute.
str_lord_follow_refusal_quarrelsome|Jemandem wie Euch folgen? Wohl kaum.
str_lord_follow_refusal_pitiless|Fürsten wie ich folgen keinen Leuten wie Euch, {mein Herr/meine Dame}.
str_lord_follow_refusal_cunning|Zeigt mir zuerst, dass Ihr der Typ von {Mann/Frau} seid, der mich nicht ins Desaster führt, und dann werde ich Euch vielleicht folgen.
str_lord_follow_refusal_sadistic|Ich denke nicht! Ihr solltet eher mir folgen, wie ein geprügelter Köter seinem Herrn.
str_lord_follow_refusal_goodnatured|Äh, ich habe gerade etwas viel zu tun. Vielleicht zu einer späteren Zeit.
str_lord_follow_refusal_upstanding|Zeigt mir zuerst, dass Ihr würdig seid, unter meinem Befehl zu stehen, und dann werde ich Euch vielleicht folgen.
str_lord_insult_default|gemeiner Haderlump
str_lord_insult_martial|ehrloser Schuft
str_lord_insult_quarrelsome|Dreck fressender Bastard
str_lord_insult_pitiless|niedriger Erdwurm
str_lord_insult_cunning|trotteliger Dumpfbatz
str_lord_insult_sadistic|winselnder Hund
str_lord_insult_goodnatured|unangenehmer Typ
str_lord_insult_upstanding|erbärmlicher Haderlump
str_rebellion_dilemma_default|[Lehen]
str_rebellion_dilemma_martial|{s45} wurde ganz klar Unrecht angetan. Obwohl ich {s46} einen Eid leistete, bindet dieser mich nicht, ihn zu unterstützen, wenn er seinen Thron auf unlautere Weise an sich gerissen hat.
str_rebellion_dilemma_quarrelsome|Hmm. {s46} hat mir nie gegeben, was er mir schuldet, also denke ich, dass ich ihm nicht viel schulde. Trotzdem, vielleicht wird {s45} nicht besser sein, und {s46} hat sich wenigstens selbst gezeigt.
str_rebellion_dilemma_pitiless|Hmm. {s45} sagt, {reg3?sie:er} sei der rechtmäßige Thronfolger. Das ist gut, denn es entbindet mich meines Treueschwurs an {s46}. Dennoch muss ich meine Entscheidung sorgfältig abwägen.
str_rebellion_dilemma_cunning|Hmm. Ich leistete {s46} einen Treueschwur, doch die Mächtigen sind nicht durch ihre Eide gebunden, wie wir gewöhnliches Volk. Unsere Pflicht ist, nach unseren eigenen Fähigkeiten zu herrschen, Ordnung zu schaffen und den Krieg aller gegen alle zu verhindern.
str_rebellion_dilemma_sadistic|Hmm. In dieser üblen Welt muss ein kluger Mann zuerst an sich selbst denken, denn niemand wird es für ihn tun. Also -- was ist für mich drin?
str_rebellion_dilemma_goodnatured|Ich weiß nicht, was ich sagen soll. Ich habe {s46} als rechtmäßigem Herrscher die Treue geschworen, doch wenn er das nicht ist, so hätte ich Zweifel am Wert dieses Schwurs.
str_rebellion_dilemma_upstanding|Das ist bedenklich. Es ist eine schwerwiegende Sache, meinen Treueschwur an {s46} für null und nichtig zu erklären und die Bande zu kappen, die unser Land daran hindern, in die Gesetzlosigkeit zu fallen. Doch ich habe auch geschworen, die Rechtmäßigkeit der Thronfolge anzuerkennen, und {s45} hat auch einen gültigen Anspruch auf den Thron.
str_rebellion_dilemma_2_default|[Lehen]
str_rebellion_dilemma_2_martial|Andererseits hat {s46} in Krieg und Frieden regiert, und ich will meinen Treueschwur einfach nicht brechen.
str_rebellion_dilemma_2_quarrelsome|Sagt mir also, weshalb ich dem Bastard, dem ich diene, für einen unbekannten Bastard den Rücken zukehren sollte!
str_rebellion_dilemma_2_pitiless|Es ist eine höchst unangenehme Position, gefragt zu werden, wen ich zum {reg3?Herrscher:König} dieses Landes ernennen würde. Doch gleichzeitig ist es auch eine Gelegenheit für mich, die Belohnung zu kassieren, die mir schon immer zustand!
str_rebellion_dilemma_2_cunning|{s46} wurde herausgefordert und wird daher nie in der Lage sein, so stark zu herrschen wie die, deren Anspruch nie in Frage gestellt wurde. Doch wenn {s45} den Thron mit Gewalt an sich reißt, wird {reg3?sie:er} nicht so stark sein wie jemand, der ihn friedvoll übernimmt.
str_rebellion_dilemma_2_sadistic|Wenn ich mich vielleicht {s45} anschließe, solange {reg3?sie:er} noch schwach ist, wird {reg3?sie:er} mich reich machen, aber wenn ich {s46} Euren Kopf bringe, wird er mir vielleicht eine noch größere Belohnung geben.
str_rebellion_dilemma_2_goodnatured|{s46} hat mich immer anständig behandelt, doch es ist wahr, dass er {s45} Unrecht antat. Ich zögere, meinen Treueschwur an {s46} zu brechen, doch zugleich finde es auch nicht richtig, Ungerechtigkeit zu unterstützen.
str_rebellion_dilemma_2_upstanding|Ich finde, dass ich tun muss, was am besten für das Reich ist, um zu verhindern, dass es durch Bürgerkrieg zerrissen und von seinen Feinden vergewaltigt wird.
str_rebellion_prior_argument_very_favorable|Ich habe schon einige Argumente gehört, die Euren Thronanwärter unterstützen, und ich stimme ihnen im Allgemeinen zu.
str_rebellion_prior_argument_favorable|Ich habe schon einige Argumente gehört, die Euren Thronanwärter unterstützen, und ich stimme ihnen im Allgemeinen zu.
str_rebellion_prior_argument_unfavorable|Ich habe schon einige Argumente gehört, die Euren Thronanwärter unterstützen, aber ich finde sie nicht überzeugend.
str_rebellion_prior_argument_very_unfavorable|Ich habe schon einige Argumente gehört, die Euren Thronanwärter unterstützen, aber ich stimme ihnen fast allen nicht zu.
str_rebellion_rival_default|[Lehen]
str_rebellion_rival_martial|{s49} Euer Verbündeter {s44} stellte einst Eure Ehre und meine Tapferkeit in Frage. Ich bekomme nicht oft die Gelegenheit, ihm im Kampf gegenüber zu stehen und ihn seine Aussage zurückziehen zu lassen.
str_rebellion_rival_quarrelsome|{s49} Ihr arbeitet mit {s44}. Er ist ein verschlagenes Wiesel, und ich traue ihm keinen Schritt über den Weg.
str_rebellion_rival_pitiless|{s49} Ihr scheint die Unterstützung von {s44} gewonnen zu haben -- der weich und schwach und nicht tauglich ist, ein Lehen zu regieren, und den ich schon immer verachtet habe.
str_rebellion_rival_cunning|{s49} {s44}, der sich Euch schon angeschlossen hat, ist starrköpfig und etwas unberechenbar.
str_rebellion_rival_sadistic|{s49} ich habe kein Verlangen, an der Seite Eures Verbündeten {s44} zu kämpfen, der so eine ekelhafte Tugend zur Schau stellt.
str_rebellion_rival_goodnatured|{s49} ich bin zögerlich, auf der selben Seite wie {s44} zu stehen, der den Ruf der Grausamkeit trägt.
str_rebellion_rival_upstanding|{s49} Euer Verbündeter {s44} ist meiner Meinung nach ein gefährlicher, unzuverlässiger und völlig prinzipienloser Geselle.
str_rebellion_argument_favorable|Ich respektiere Eure Argumentation
str_rebellion_argument_neutral|Ich finde Eure Argumentation nur bedingt überzeugend
str_rebellion_argument_unfavorable|Ich finde Eure Argumentation nicht überzeugend
str_rebellion_persuasion_favorable|Ihr bringt Eure Sache beredt vor
str_rebellion_persuasion_neutral|Ihr liefert vernünftige Argumente ab
str_rebellion_persuasion_unfavorable|Ihr liefert keine überzeugenden Argumente ab
str_rebellion_relation_very_favorable|Ich habe den größten Respekt für Euch persönlich.
str_rebellion_relation_favorable|Ich kenne und respektiere Euch persönlich.
str_rebellion_relation_neutral|Ich kenne Euch nicht so gut, wie ich gerne würde.
str_rebellion_relation_unfavorable|Ich traue Euch nicht.
str_and_comma_3|Außerdem,
str_but_comma_3|Trotzdem,
str_and_comma_1|, und
str_but_comma_1|, aber
str_and_comma_2|. Obendrein,
str_but_comma_2|. Gleichwohl,
str_rebellion_agree_default|[Lehen]
str_rebellion_agree_martial|Ich habe meine Entscheidung getroffen. Ich werde {s45} als rechtmäßigen Erben unterstützen.
str_rebellion_agree_quarrelsome|Ahh, ich habe lange genug nachgedacht. Ich habe {s46} eh nie sehr gemocht. Nehmen wir ihm den Thron ab.
str_rebellion_agree_pitiless|Nein. Ich werde mich Eurer Rebellion nicht anschließen. Für mich ist das wenig mehr als der Wutanfall eines Kindes, dem ein Schnuller verwehrt wird, von dem es denkt, er sollte ihm gehören. Ich werde bei {s46} bleiben, dessen Regierungsfähigkeit wohl dokumentiert ist.
str_rebellion_agree_cunning|Es tut mir Leid. Ihr gebt mir keinen Grund, Vertrauen in Euren Sieg zu finden. Viele werden sterben, aber ich will nicht unter ihnen sein. Ich werde weiterhin {s46} unterstützen.
str_rebellion_agree_sadistic|Nein. Ich werde Euer kleines Spielchen nicht mitmachen. Ihr greift nach einer Krone, aber stattdessen werdet Ihr wohl einen kleinen Spaziergang zum Schafott machen, und ich werde dort an {s46}s Seite stehen, um das Henkerbeil fallen zu sehen.
str_rebellion_agree_goodnatured|Es tut mir Leid. Ich finde es nicht richtig, mich von {s46} abzuwenden. Nichts für ungut, wenn wir uns auf dem Schlachtfeld treffen.
str_rebellion_agree_upstanding|Es tut mir Leid. {s45}s Anspruch ist nicht stark genug für mich, um den Fluch des zivilen Ungehorsams auf die armen Sünder dieses Landes loszulassen. Ich werde weiterhin {s46} unterstützen. Möge der Himmel mir vergeben, wenn ich die falsche Entscheidung treffe.
str_rebellion_refuse_default|[Lehen]
str_rebellion_refuse_martial|Es tut mir Leid. {s45} hat einen guten Anspruch, aber nicht gut genug für mich, {s46} den Rücken zuzuwenden. Ich werde meinem Lehnsherrn die Treue halten.
str_rebellion_refuse_quarrelsome|Näh. Euer Welpe {s45} hat nicht das Zeug dazu, über dieses Reich zu herrschen. Ich bleibe bei {s46}.
str_rebellion_agree_pitiless|Nein. Ich werde mich Eurer Rebellion nicht anschließen. Für mich ist das wenig mehr als der Wutanfall eines Kindes, dem ein Schnuller verwehrt wird, von dem es denkt, er sollte ihm gehören. Ich werde bei {s46} bleiben, dessen Regierungsfähigkeit wohl dokumentiert ist.
str_rebellion_agree_cunning|Es tut mir Leid. Ihr gebt mir keinen Grund, Vertrauen in Euren Sieg zu finden. Viele werden sterben, aber ich will nicht unter ihnen sein. Ich werde weiterhin {s46} unterstützen.
str_rebellion_agree_sadistic|Nein. Ich werde Euer kleines Spielchen nicht mitmachen. Ihr greift nach einer Krone, aber stattdessen werdet Ihr wohl einen kleinen Spaziergang zum Schafott machen, und ich werde dort an {s46}s Seite stehen, um das Henkerbeil fallen zu sehen.
str_rebellion_agree_goodnatured|Es tut mir Leid. Ich finde es nicht richtig, mich von {s46} abzuwenden. Nichts für ungut, wenn wir uns auf dem Schlachtfeld treffen.
str_rebellion_agree_upstanding|Es tut mir Leid. {s45}s Anspruch ist nicht stark genug für mich, um den Fluch des zivilen Ungehorsams auf die armen Sünder dieses Landes loszulassen. Ich werde weiterhin {s46} unterstützen. Möge der Himmel mir vergeben, wenn ich die falsche Entscheidung treffe.
str_talk_later_default|[Lehen]
str_talk_later_martial|Jetzt ist nicht die Zeit, über Politik zu reden! Ich bin heute hier mit den anderen Fürsten, fürs Gefecht gewappnet. Ihr bereitet Euch besser auf den Kampf vor.
